scope,unit,nrestarts_live,journal_restart_events,journal_max_counter,unit_file_state,active_state,sub_state,restart_policy,disposition
system,screen-cleanup.service,0,0,0,masked,inactive,dead,no,
system,secureboot-db.service,0,0,0,enabled,inactive,dead,no,
system,setvtrgb.service,0,0,0,enabled,active,exited,no,
system,snap.lxd.activate.service,0,0,0,enabled,inactive,dead,no,
system,snap.lxd.daemon.service,0,0,0,static,inactive,dead,on-failure,
system,snap.lxd.user-daemon.service,0,0,0,static,inactive,dead,on-failure,
system,snapd.apparmor.service,0,0,0,enabled,active,exited,no,
system,snapd.autoimport.service,0,0,0,enabled,inactive,dead,no,
system,snapd.core-fixup.service,0,0,0,enabled,inactive,dead,no,
system,snapd.failure.service,0,0,0,static,inactive,dead,no,
system,snapd.recovery-chooser-trigger.service,0,0,0,enabled,inactive,dead,no,
system,snapd.seeded.service,0,0,0,enabled,active,exited,no,
system,snapd.service,0,0,0,enabled,active,running,always,
system,snapd.snap-repair.service,0,0,0,static,inactive,dead,no,
system,snapd.system-shutdown.service,0,0,0,enabled,inactive,dead,no,
system,ssh.service,0,0,0,enabled,active,running,on-failure,
system,sshd.service,0,0,0,enabled,active,running,on-failure,
system,sudo.service,0,0,0,masked,inactive,dead,no,
system,supabase.service,0,0,0,enabled,active,exited,no,
system,syslog.service,0,0,0,enabled,active,running,on-failure,
system,system-update-cleanup.service,0,0,0,static,inactive,dead,no,
system,systemd-ask-password-console.service,0,0,0,static,inactive,dead,no,
system,systemd-ask-password-plymouth.service,0,0,0,static,inactive,dead,no,
system,systemd-ask-password-wall.service,0,0,0,static,inactive,dead,no,
system,systemd-binfmt.service,0,0,0,static,active,exited,no,
system,systemd-bless-boot.service,0,0,0,static,inactive,dead,no,
system,systemd-boot-check-no-failures.service,0,0,0,disabled,inactive,dead,no,
system,systemd-boot-system-token.service,0,0,0,static,inactive,dead,no,
system,systemd-exit.service,0,0,0,static,inactive,dead,no,
system,systemd-fsck-root.service,0,0,0,enabled-runtime,inactive,dead,no,
system,systemd-fsckd.service,0,0,0,static,inactive,dead,no,
system,systemd-halt.service,0,0,0,static,inactive,dead,no,
system,systemd-hibernate.service,0,0,0,static,inactive,dead,no,
system,systemd-hostnamed.service,0,0,0,static,inactive,dead,no,
system,systemd-hybrid-sleep.service,0,0,0,static,inactive,dead,no,
system,systemd-initctl.service,0,0,0,static,inactive,dead,no,
system,systemd-journal-flush.service,0,0,0,static,active,exited,no,
system,systemd-journald.service,0,0,0,static,active,running,always,
system,systemd-kexec.service,0,0,0,static,inactive,dead,no,
system,systemd-localed.service,0,0,0,static,inactive,dead,no,
system,systemd-logind.service,0,0,0,static,active,running,always,
system,systemd-machine-id-commit.service,0,0,0,static,inactive,dead,no,
system,systemd-modules-load.service,0,0,0,static,active,exited,no,
system,systemd-network-generator.service,0,0,0,disabled,inactive,dead,no,
system,systemd-networkd-wait-online.service,1,0,0,enabled,inactive,dead,no,
system,systemd-networkd.service,0,0,0,enabled,active,running,on-failure,
system,systemd-poweroff.service,0,0,0,static,inactive,dead,no,
system,systemd-pstore.service,0,0,0,enabled,inactive,dead,no,
system,systemd-quotacheck.service,0,0,0,static,inactive,dead,no,
system,systemd-random-seed.service,0,0,0,static,active,exited,no,
system,systemd-reboot.service,0,0,0,static,inactive,dead,no,
system,systemd-remount-fs.service,0,0,0,enabled-runtime,active,exited,no,
system,systemd-resolved.service,0,0,0,disabled,inactive,dead,always,
system,systemd-rfkill.service,0,0,0,static,inactive,dead,no,
system,systemd-suspend-then-hibernate.service,0,0,0,static,inactive,dead,no,
system,systemd-suspend.service,0,0,0,static,inactive,dead,no,
system,systemd-sysctl.service,0,0,0,static,active,exited,no,
system,systemd-sysext.service,0,0,0,disabled,inactive,dead,no,
system,systemd-sysusers.service,0,0,0,static,active,exited,no,
system,systemd-time-wait-sync.service,0,0,0,disabled,inactive,dead,no,
system,systemd-timedated.service,0,0,0,static,inactive,dead,no,
system,systemd-timesyncd.service,0,0,0,enabled,active,running,always,
system,systemd-tmpfiles-clean.service,0,0,0,static,inactive,dead,no,
system,systemd-tmpfiles-setup-dev.service,0,0,0,static,active,exited,no,
system,systemd-tmpfiles-setup.service,0,0,0,static,active,exited,no,
system,systemd-udev-settle.service,0,0,0,static,inactive,dead,no,
system,systemd-udev-trigger.service,0,0,0,static,active,exited,no,
system,systemd-udevd.service,0,0,0,static,active,running,always,
system,systemd-update-utmp-runlevel.service,0,0,0,static,inactive,dead,no,
system,systemd-update-utmp.service,0,0,0,static,active,exited,no,
system,systemd-user-sessions.service,0,0,0,static,active,exited,no,
system,systemd-volatile-root.service,0,0,0,static,inactive,dead,no,
system,tailscale-wait-online.service,0,0,0,disabled,inactive,dead,no,
system,tailscaled.service,0,0,0,enabled,active,running,on-failure,
system,thermald.service,0,0,0,enabled,inactive,dead,on-failure,
system,ua-reboot-cmds.service,0,0,0,enabled,inactive,dead,no,
system,ua-timer.service,0,0,0,static,inactive,dead,no,
system,ubuntu-advantage.service,0,0,0,enabled,inactive,dead,no,
system,udev.service,0,0,0,static,active,running,always,
system,udisks2.service,0,0,0,enabled,active,running,no,
system,ufw.service,0,0,0,disabled,inactive,dead,no,
system,unattended-upgrades.service,0,0,0,enabled,active,running,no,
system,update-notifier-download.service,0,0,0,static,inactive,dead,no,
system,update-notifier-motd.service,0,0,0,static,inactive,dead,no,
system,upower.service,0,0,0,disabled,active,running,on-failure,
system,usbmuxd.service,0,0,0,static,inactive,dead,no,
system,uuidd.service,0,0,0,indirect,inactive,dead,no,
system,vgauth.service,0,0,0,enabled,inactive,dead,no,
system,vmtoolsd.service,0,0,0,enabled,inactive,dead,no,
system,x-repost-worker.service,0,0,0,disabled,inactive,dead,on-failure,"retired 2026-07-25 (AUR-3961): ExecStart target scripts/x-repost-worker.mjs does not exist on disk, ownerless dead unit. Unit file removed; backup in ops/systemd/retired/ and git history."
system,x11-common.service,0,0,0,masked,inactive,dead,no,
system,xfs_scrub_all.service,0,0,0,static,inactive,dead,no,
user,app-snap\x2duserd\x2dautostart@autostart.service,0,0,0,generated,inactive,dead,no,
user,at-spi-dbus-bus.service,0,0,0,static,inactive,dead,no,
user,auranode-interop-alert.service,0,0,0,static,inactive,dead,no,
user,auranode-interop-consumer.service,0,0,0,static,inactive,dead,no,
user,booking-service.service,0,0,0,enabled,active,running,always,
user,dbus.service,0,0,0,static,active,running,no,
user,dconf.service,0,0,0,static,inactive,dead,no,
user,dirmngr.service,0,0,0,static,inactive,dead,no,
user,gbm-sidecar.service,0,0,0,disabled,inactive,dead,on-failure,"retired 2026-07-25 (AUR-3961): dead scoring sidecar for polymarket-btc-5m-taker.service (Before= dependency), removed alongside it. Unit file removed; backup in ops/systemd/retired/ and git history."
user,gnome-keyring-ssh.service,0,0,0,static,inactive,dead,no,
user,gnome-keyring.service,0,0,0,enabled,inactive,dead,no,
user,gpg-agent.service,0,0,0,static,inactive,dead,no,
user,paperclip.service,0,3471,13742,enabled,active,running,on-failure,"out of scope for AUR-3961 -- live control plane, owned by AUR-3924. Watchdog (paperclip-unit-audit) must detect its restart counter but this issue does not modify it."
user,pk-debconf-helper.service,0,0,0,static,inactive,dead,no,
user,polymarket-btc-5m-taker.service,0,62360,44779,disabled,inactive,dead,on-failure,"retired 2026-07-25 (AUR-3961): hard kill bar 2026-04-30, 62,360 restarts (journal_max_counter), NRestarts read 0 due to stop/start reset. Unit file removed; backup in ops/systemd/retired/ and git history."
user,session-migration.service,0,0,0,enabled,inactive,dead,no,
user,snapd.session-agent.service,0,0,0,static,inactive,dead,no,
user,ssh-agent.service,0,0,0,static,inactive,dead,no,
user,systemd-exit.service,0,0,0,static,inactive,dead,no,
user,systemd-tmpfiles-clean.service,0,0,0,static,inactive,dead,no,
user,systemd-tmpfiles-setup.service,0,0,0,disabled,inactive,dead,no,
user,telephony-gateway.service,0,37,16,enabled,active,running,always,
